carnet,nombres,apellidos,sexo,fecha_nacimiento,profesion,celular,direccion
873947-0,Itzel,Alva Negrete,F,1971-09-06,Abogado,1-122-760-4619x7691,Periférico Quintana Roo 576
752981-1,Jerónimo,Rentería Zapata,F,1977-07-05,Enfermero,823-836-2098,Boulevard Sur Mares 516
916230-2,Roberto,Salgado Meza,M,1999-08-28,Abogado,919.385.5188x239,Pasaje Tamaulipas 823
918119-3,Eva,Estrada Olmos,M,1987-12-17,Programador,(256)863-6533x5116,Continuación Loera 272
210898-4,Julio César,Loya Espinosa,M,1975-04-17,Profesor,1-367-389-0170x24880,Pasaje Serrano 529
684418-5,Amelia,Ibarra Mayorga,M,1971-09-05,Diseñador,159.314.4777,Periférico Norte Ríos 199
389948-6,Mauricio,Anaya Curiel,M,2003-08-25,Doctor,1-186-639-6160x62396,Privada Timor-Leste 986
514134-7,María del Carmen,Solís Velasco,M,1992-06-30,Abogado,+65(5)9542802774,Diagonal Sur Ortega 470
564373-8,Dalia,Valenzuela Pedroza,M,1973-12-29,Abogado,825-451-4861x23474,Cerrada Marruecos 347
108411-9,Gilberto,Iglesias Holguín,F,1992-01-06,Contador,644.436.3967,Viaducto Norte Guevara 786
989750-10,Asunción,Pizarro Chavarría,M,1965-08-17,Doctor,07687234375,Diagonal Colima 764
954484-11,Estela,Garibay Leyva,M,1975-07-27,Doctor,(269)307-5762,Cerrada Tailandia 691
971246-12,Gerónimo,Lemus Calderón,M,1992-11-01,Profesor,071-806-0871,Periférico Colón 759
113614-13,Trinidad,Mayorga Montaño,F,1986-07-28,Electricista,906-760-8135x227,Periférico Norte Valverde 240
913079-14,Florencia,Leyva Aparicio,F,2002-04-11,Electricista,229.834.9477x384,Ampliación Distrito Federal 747
916267-15,Bernabé,Tirado Brito,M,1979-05-31,Doctor,1-795-274-5358x46007,Ampliación Sur Morales 992
801239-16,Nicolás,Roybal Patiño,M,1975-11-18,Arquitecto,277-908-9815x335,Pasaje Senegal 937
180601-17,Emilia,Nazario Ocasio,F,1969-10-30,Programador,1-321-156-7399x5131,Periférico Quintana Roo 379
602522-18,Mario,Carrero Solano,M,1968-10-29,Abogado,1-441-761-6186x360,Boulevard Zacatecas 265
723337-19,José Manuél,Hernádez Piña,F,1973-02-21,Electricista,1-207-743-2460x393,Circunvalación Norte Rosario 903
320264-20,Claudia,Madrid Acuña,M,1992-08-08,Ingeniero,828.697.1935,Avenida Nuevo León 253
126758-21,Frida,Galindo Abrego,M,1967-04-08,Diseñador,04933912931,Diagonal Mares 843
998177-22,Adriana,Lira Casillas,F,1977-07-16,Abogado,135-502-1365x25519,Viaducto Ybarra 108
592266-23,Mayte,Sanches Durán,M,1973-02-20,Doctor,+96(1)2669339290,Diagonal Aguascalientes 195
119081-24,Alejandro,Godoy Colunga,M,1976-11-10,Abogado,829-470-1429,Diagonal Alba 788
940917-25,José Luis,Vásquez Padrón,M,1976-12-26,Contador,038-472-0551x237,Andador Sur Quiñones 396
136981-26,Benjamín,Gaona Gollum,F,1976-05-11,Arquitecto,03864741887,Calzada Puebla 485
994601-27,Sandra,Suárez Escalante,F,2005-08-22,Abogado,1-979-201-7357,Retorno Leal 699
375559-28,Mariano,Rocha Valladares,M,1966-11-17,Contador,(654)127-1952,Circuito Sur Quintana 410
753131-29,Micaela,Loera Casas,M,2000-09-08,Contador,(263)229-0893x449,Continuación Arevalo 136
746414-30,Dulce,Osorio Reynoso,M,1976-05-06,Abogado,(960)099-6039x25714,Calzada Sur Roybal 834
977406-31,Manuel,Pérez Domínguez,M,1998-11-28,Abogado,1-140-497-2207,Peatonal Haití 745
328166-32,Irene,Mejía Montes,M,2004-05-02,Profesor,339-991-3883x7898,Prolongación Zacatecas 553
190818-33,Horacio,Botello Rascón,F,1992-09-13,Arquitecto,(203)539-4781x3565,Prolongación Papua Nueva Guinea 886
681917-34,José Eduardo,Rael Cervántez,F,1997-11-27,Contador,332.586.3248x768,Viaducto Sur Posada 419
441054-35,Amalia,Delgadillo Cisneros,F,2002-11-21,Abogado,(829)044-5913x95126,Cerrada Bahamas 738
174640-36,Sara,Alonso Garica,M,1995-06-06,Electricista,755-357-6725,Circuito Ramón 273
211276-37,Martha,Olvera Limón,M,1971-01-14,Abogado,526-448-0498,Viaducto Norte Lara 639
412655-38,Lorenzo,Burgos Domínguez,F,1977-12-27,Contador,448.218.9871,Cerrada Nicaragua 760
374227-39,Ignacio,Abreu Guillen,F,1989-05-19,Enfermero,706.834.9776,Diagonal Norte Paredes 438
369387-40,Pilar,Gastélum Benavides,F,1994-11-11,Abogado,685-830-3818x022,Calle Polonia 583
163964-41,Benito,Garza Villarreal,M,1991-10-26,Programador,1-234-828-5273x03113,Periférico Solís 814
319217-42,Bernabé,Calderón de Jesús,M,1965-03-20,Ingeniero,+18(2)6209548672,Privada Sur Arce 496
